microsoft/Phi-3.5-mini-instruct,79.13
jpacifico/Chocolatine-3B-Instruct-DPO-Revised,64.57
ibm-granite/granite-3.0-2b-instruct,77.95
meta-llama/Llama-3.2-3B-Instruct,75.59
Qwen/Qwen2.5-7B-Instruct,81.89
MaziyarPanahi/calme-3.1-instruct-3b,84.65
nvidia/Nemotron-Mini-4B-Instruct,84.25
